stationID,obsTimeUtc,obsTimeLocal,solarRadiation,lon,epoch,lat,uv,winddir,humidity,imperial.temp,imperial.heatIndex,imperial.dewpt,imperial.windChill,imperial.windSpeed,imperial.windGust,imperial.pressure,imperial.precipRate,imperial.precipTotal
KTXDALLA724,2022-08-06T16:59:57Z,2022-08-06 11:59:57,734.87,-96.838997,1659805197,32.754002,7,107,52,92,100,72,92,1,1,30.22,0,0
KTXDALLA724,2022-08-06T17:59:57Z,2022-08-06 12:59:57,793.35,-96.838997,1659808797,32.754002,7,122,46,96,104,72,96,1,1,30.21,0,0
KTXDALLA724,2022-08-06T18:59:57Z,2022-08-06 13:59:57,876.29,-96.838997,1659812397,32.754002,8,107,43,97,106,71,97,1,1,30.18,0,0
KTXDALLA724,2022-08-06T19:59:57Z,2022-08-06 14:59:57,882.78,-96.838997,1659815997,32.754002,8,109,41,97,105,70,97,1,1,30.17,0,0
KTXDALLA724,2022-08-06T20:59:57Z,2022-08-06 15:59:57,789.07,-96.838997,1659819597,32.754002,7,124,41,98,106,71,98,0,1,30.15,0,0
KTXDALLA724,2022-08-06T21:59:57Z,2022-08-06 16:59:57,645.07,-96.838997,1659823197,32.754002,6,112,39,99,108,71,99,1,1,30.13,0,0
KTXDALLA724,2022-08-06T22:59:57Z,2022-08-06 17:59:57,467.57,-96.838997,1659826797,32.754002,4,106,40,98,105,70,98,0,1,30.12,0,0
KTXDALLA724,2022-08-06T23:59:57Z,2022-08-06 18:59:57,238.07,-96.838997,1659830397,32.754002,2,113,43,96,102,70,96,1,2,30.13,0,0
KTXDALLA724,2022-08-07T00:59:57Z,2022-08-06 19:59:57,30.34,-96.838997,1659833997,32.754002,0,109,46,93,99,70,93,1,1,30.13,0,0
KTXDALLA724,2022-08-07T01:59:57Z,2022-08-06 20:59:57,6.48,-96.838997,1659837597,32.754002,0,100,48,91,97,70,91,0,1,30.15,0,0
KTXDALLA724,2022-08-07T02:59:57Z,2022-08-06 21:59:57,0,-96.838997,1659841197,32.754002,0,100,53,90,96,71,90,0,1,30.18,0,0
KTXDALLA724,2022-08-07T03:59:57Z,2022-08-06 22:59:57,0,-96.838997,1659844797,32.754002,0,104,58,88,94,71,88,1,1,30.18,0,0
KTXDALLA724,2022-08-07T04:59:57Z,2022-08-06 23:59:57,0,-96.838997,1659848397,32.754002,0,109,62,86,92,72,86,1,1,30.19,0,0
KTXDALLA724,2022-08-07T05:00:45Z,2022-08-07 00:00:45,0,-96.838997,1659848445,32.754002,0,92,64,85,91,72,85,1,1,30.18,0,0
KTXDALLA724,2022-08-07T12:59:56Z,2022-08-07 07:59:56,21.16,-96.838997,1659877196,32.754002,0,117,78,80,83,72,80,1,1,30.27,0,0
KTXDALLA724,2022-08-07T13:59:56Z,2022-08-07 08:59:56,225.46,-96.838997,1659880796,32.754002,2,118,75,81,86,73,81,1,1,30.27,0,0
KTXDALLA724,2022-08-07T14:59:56Z,2022-08-07 09:59:56,467.57,-96.838997,1659884396,32.754002,4,112,65,86,93,73,86,1,2,30.27,0,0
KTXDALLA724,2022-08-07T15:59:56Z,2022-08-07 10:59:56,652.42,-96.838997,1659887996,32.754002,6,114,58,89,97,73,89,1,2,30.27,0,0
KTXDALLA724,2022-08-07T16:59:56Z,2022-08-07 11:59:56,785.15,-96.838997,1659891596,32.754002,7,122,50,93,100,72,93,1,2,30.27,0,0
KTXDALLA724,2022-08-07T17:59:56Z,2022-08-07 12:59:56,831.52,-96.838997,1659895196,32.754002,8,122,44,96,104,71,96,1,1,30.26,0,0
KTXDALLA724,2022-08-07T18:59:56Z,2022-08-07 13:59:56,852.44,-96.838997,1659898796,32.754002,8,123,41,97,104,70,97,1,2,30.24,0,0
KTXDALLA724,2022-08-07T19:59:56Z,2022-08-07 14:59:56,790.78,-96.838997,1659902396,32.754002,7,117,37,99,106,69,99,1,2,30.21,0,0
KTXDALLA724,2022-08-07T20:59:56Z,2022-08-07 15:59:56,750.41,-96.838997,1659905996,32.754002,7,121,34,101,107,68,101,1,2,30.18,0,0
KTXDALLA724,2022-08-07T21:59:56Z,2022-08-07 16:59:56,637.62,-96.838997,1659909596,32.754002,6,87,33,101,106,67,101,1,2,30.16,0,0
KTXDALLA724,2022-08-07T22:59:56Z,2022-08-07 17:59:56,492.28,-96.838997,1659913196,32.754002,4,121,33,101,107,67,101,1,2,30.14,0,0
KTXDALLA724,2022-08-07T23:59:56Z,2022-08-07 18:59:56,267.55,-96.838997,1659916796,32.754002,2,118,36,99,104,68,99,1,2,30.13,0,0
KTXDALLA724,2022-08-08T00:59:56Z,2022-08-07 19:59:56,29.85,-96.838997,1659920396,32.754002,0,109,38,96,101,67,96,1,1,30.14,0,0
KTXDALLA724,2022-08-08T01:59:56Z,2022-08-07 20:59:56,6.48,-96.838997,1659923996,32.754002,0,113,38,95,98,66,95,0,1,30.15,0,0
